State,District,Latitude,Longitude,District code,Households_with_Internet,Households_with_Computer,Hindus,Population,Rural_Households,Urban_Households,Married_couples_None_Households,sex_ratio,literacy_rate
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3834,37833,2712635,3330464,632514,41858,45113,99.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,1845,25078,1809936,2229076,572287,27815,28560,93.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,4810,39564,3152346,3495021,699317,51494,43282,89.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,44283,78113,852574,1055450,8911,289456,42854,82.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1782,9042,1277975,1413199,316425,54894,45497,102.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,1574,6281,371973,381956,152458,11987,10379,98.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,8566,30892,2540763,2663629,549632,188174,80579,97.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,1016,4804,777188,799781,168689,41792,23029,101.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,16141,51289,3129745,3343872,533448,349741,79509,99.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,567,5755,629509,851669,205670,20722,23065,101.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,4544,18004,1133176,1206640,206598,126055,37417,97.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,1667,7609,604259,658917,121852,59763,22030,97.0,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,961,5614,1008061,1032754,274793,35774,32927,102.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,3342,13857,1422986,1493984,354278,66638,50440,99.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,38570,96301,2239370,2634200,581868,377160,94172,96.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,20261,59523,3881485,4063872,673499,395001,100264,98.0,65.0
